업종명	업소명	소재지(도로명)	소재지(지번)	행정동명
일반음식점	토담	대전광역시 중구 보문산공원로 472 (대사동)	대전광역시 중구 대사동 198-15 	대사동
일반음식점	사랑채	대전광역시 중구 선화로 120 (선화동)	대전광역시 중구 선화동 244-11 	은행선화동
일반음식점	명성초밥	"대전광역시 중구 대흥로10번길 9 (대사동,,문화동1-214(1층))"	"대전광역시 중구 대사동 248-271 ,문화동1-214(1층) "	대사동
일반음식점	1989역전꼬마김밥(문화점)	대전광역시 중구 중앙로16번길 31 (문화동)	대전광역시 중구 문화동 1-189 	문화1동
일반음식점	오사카오코노미야끼	"대전광역시 중구 중앙로156번길 41-12, 1층 (은행동)"	대전광역시 중구 은행동 170-45 (1층) 	은행선화동
일반음식점	루비	"대전광역시 중구 보문로 69, 1층 (부사동)"	대전광역시 중구 부사동 147-7 1층 	부사동
일반음식점	비어탭	대전광역시 중구 계룡로874번길 11 (오류동)	대전광역시 중구 오류동 151-7 	오류동
일반음식점	처갓집양념치킨부사점	대전광역시 중구 대종로316번길 2 (부사동)	대전광역시 중구 부사동 150-12 	부사동
일반음식점	민들레식당	"대전광역시 중구 보문로 99-2 (부사동,(1층))"	대전광역시 중구 부사동 141-11 (1층) 	부사동
일반음식점	그루브	"대전광역시 중구 보문로262번길 26, 1층 (대흥동)"	대전광역시 중구 대흥동 479-2 1층 	대흥동
일반음식점	메가엠지씨커피대전은행점2	"대전광역시 중구 대종로480번길 50 (은행동 24,25) 2층 (은행동)"	"대전광역시 중구 은행동 72-1 2층(은행동,24,25) "	은행선화동
일반음식점	대흥정육식당	"대전광역시 중구 보문로162번길 86 (대사동,,13)"	"대전광역시 중구 대사동 62-6 ,13 "	대사동
일반음식점	정식당	대전광역시 중구 중앙로130번길 37-13 (대흥동)	대전광역시 중구 대흥동 216-7 	대흥동
일반음식점	한밭칼국수식당	대전광역시 중구 목척4길 6 (은행동)	대전광역시 중구 은행동 22-1 	은행선화동
일반음식점	아미식당	"대전광역시 중구 중앙로130번길 36, 2층 (대흥동)"	대전광역시 중구 대흥동 247 2층 	대흥동
일반음식점	고려회관	"대전광역시 중구 중앙로109번길 30, 2층 (선화동)"	대전광역시 중구 선화동 232-8 2층 	은행선화동
일반음식점	뒷고기두돈	"대전광역시 중구 계룡로874번길 12, 1층 (오류동)"	대전광역시 중구 오류동 149-29 1층 	오류동
일반음식점	돼지마을	"대전광역시 중구 중앙로164번길 43, 2층 (은행동)"	대전광역시 중구 은행동 76-15 2층 	은행선화동
일반음식점	둘레	"대전광역시 중구 대종로517번길 13, 1층 (선화동)"	대전광역시 중구 선화동 32-3 (1층) 	은행선화동
